Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22062026,1822890169,0003159
Trade Date <22-JUN-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2458,SANSTAR,EQ,2752721,767050,27.87
20,2459,SAPPHIRE,EQ,688167,246968,35.89
20,2460,SAPPL,EQ,2182,1992,91.29
20,2461,SARDAEN,EQ,289318,147722,51.06
20,2462,SAREGAMA,EQ,764912,226180,29.57
20,2463,SARLAPOLY,EQ,70429,41603,59.07
20,2464,SAROJA,SM,1600,1600,100.00
20,2465,SARTELE,SM,155500,85000,54.66
20,2466,SASKEN,EQ,83543,30100,36.03
20,2467,SATECH,SM,46000,33000,71.74
20,2468,SATIA,EQ,79078,55144,69.73
20,2469,SATIN,EQ,272502,134022,49.18
20,2470,SATKARTAR,ST,49600,44000,88.71
20,2471,SATTVAENGG,SM,25600,20800,81.25
20,2472,SAURASHCEM,EQ,98178,82967,84.51
20,2473,SAVY,SM,3600,3600,100.00
20,2474,SAWALIYA,SM,28800,22800,79.17
20,2475,SAYAJIHOTL,EQ,156,155,99.36
20,2476,SBC,EQ,14220625,4986653,35.07
20,2477,SBCL,EQ,355706,185435,52.13
20,2478,SBFC,EQ,872586,509678,58.41
20,2479,SBGLP,EQ,36261,21877,60.33
20,2480,SBIBPB,EQ,114789,50921,44.36
20,2481,SBICARD,EQ,1031657,380686,36.90
20,2482,SBIETFCON,EQ,2870,1739,60.59
20,2483,SBIETFIT,EQ,11069,5093,46.01
